CWE-ID,Name
5,Некорректная конфигурация J2EE: Передача данных без шифрования
6,Некорректная конфигурация J2EE: Недостаточная длина идентификатора сессии
7,Некорректная конфигурация J2EE: Отсутствие пользовательской страницы ошибки
8,Некорректная конфигурация J2EE: Компонент-сущность объявлен как удаленный
9,Некорректная конфигурация J2EE: Слабые права доступа для методов EJB
11,Некорректная конфигурация ASP.NET: Создание отладочных двоичных файлов
12,Некорректная конфигурация ASP.NET: Отсутствие пользовательской страницы ошибки
13,Некорректная конфигурация ASP.NET: Пароль в конфигурационном файле
14,Удаление компилятором кода очистки буферов
15,Внешнее управление системными или конфигурационными настройками
20,Некорректная проверка ввода
22,"Некорректное ограничение пути к ограниченному каталогу («Обход пути»)"
23,Обход относительного пути
24,Обход пути: '../filedir'
25,Обход пути: '/../filedir'
26,Обход пути: '/dir/../filename'
27,Обход пути: 'dir/../../filename'
28,Обход пути: '..filedir'
29,Обход пути: '..filename'
30,Обход пути: 'dir..filename'
31,Обход пути: 'dir....filename'
32,Обход пути: '...' (Тройная точка)
33,Обход пути: '....' (Множественные точки)
34,Обход пути: '....//'
35,Обход пути: '.../...//'
36,Обход абсолютного пути
37,Обход пути: '/absolute/pathname/here'
38,Обход пути: 'absolutepathnamehere'
39,Обход пути: 'C:dirname'
40,Обход пути: 'UNCsharename' (UNC-путь Windows)
41,Некорректное разрешение эквивалентности пути
42,Эквивалентность пути: 'filename.' (Завершающая точка)
43,Эквивалентность пути: 'filename....' (Множественные завершающие точки)
44,Эквивалентность пути: 'file.name' (Внутренняя точка)
45,Эквивалентность пути: 'file...name' (Множественные внутренние точки)
46,Эквивалентность пути: 'filename ' (Завершающий пробел)
47,Эквивалентность пути: ' filename' (Начальный пробел)
48,Эквивалентность пути: 'file name' (Внутренний пробел)
49,Эквивалентность пути: 'filename/' (Завершающий слеш)
50,Эквивалентность пути: '//multiple/leading/slash'
51,Эквивалентность пути: '/multiple//internal/slash'
52,Эквивалентность пути: '/multiple/trailing/slash//'
53,Эквивалентность пути: 'multipleinternalbackslash'
54,Эквивалентность пути: 'filedir' (Завершающий обратный слеш)
55,Эквивалентность пути: '/./' (Каталог с одиночной точкой)
